,幣別,即期買入,即期賣出,現鈔買入,現鈔賣出,銀行
0,美金 (USD),27.581,27.680999999999997,27.331,27.831,遠東銀行
1,日圓 (JPY),0.2511,0.2538,0.2485,0.2565,遠東銀行
2,港幣 (HKD),3.5380000000000003,3.585,3.4309,3.6409,遠東銀行
3,歐元 (EUR),33.5,33.8,32.9504,34.1504,遠東銀行
4,人民幣 (CNY),4.3,4.356,4.219,4.423,遠東銀行
5,英鎊 (GBP),38.97,39.32,0,0,遠東銀行
6,新加坡幣 (SGD),20.81,20.99,0,0,遠東銀行
7,澳幣 (AUD),21.31,21.6,0,0,遠東銀行
8,泰幣 (THB),0.8619,0.92,0,0,遠東銀行
9,加拿大幣 (CAD),22.76,22.95,0,0,遠東銀行
10,瑞士法郎 (CHF),30.74,31.04,0,0,遠東銀行
11,紐西蘭幣 (NZD),19.75,20.05,0,0,遠東銀行
12,南非幣 (ZAR),2.0140000000000002,2.0669999999999997,0,0,遠東銀行
0,美金 (USD),27.553,27.653000000000002,27.253,27.873,新光銀行
1,日圓 (JPY),0.2502,0.2542,0.2452,0.2558,新光銀行
2,港幣 (HKD),3.5269999999999997,3.5869999999999997,3.437,3.617,新光銀行
3,歐元 (EUR),33.417,33.817,32.917,34.147,新光銀行
4,人民幣 (CNY),4.297,4.3469999999999995,4.202,4.388,新光銀行
5,英鎊 (GBP),38.888000000000005,39.288000000000004,0,0,新光銀行
6,新加坡幣 (SGD),20.773000000000003,20.973000000000003,0,0,新光銀行
7,澳幣 (AUD),21.334,21.554000000000002,0,0,新光銀行
8,泰幣 (THB),0.868,0.91,0,0,新光銀行
9,加拿大幣 (CAD),22.735,22.935,22.375,23.255,新光銀行
10,瑞士法郎 (CHF),30.758000000000003,30.978,0,0,新光銀行
11,紐西蘭幣 (NZD),19.775,19.995,0,0,新光銀行
12,南非幣 (ZAR),1.9880000000000002,2.088,0,0,新光銀行
13,瑞典幣 (SEK),3.2969999999999997,3.397,0,0,新光銀行
14,土耳其里拉 (TRY),3.12,3.48,0,0,新光銀行
15,墨西哥比索 (MXN),1.344,1.464,0,0,新光銀行
0,美金 (USD),27.552,27.651999999999997,27.172,27.882,土地銀行
1,日圓 (JPY),0.2502,0.2542,0.2446,0.2563,土地銀行
2,港幣 (HKD),3.5269999999999997,3.5869999999999997,3.437,3.617,土地銀行
3,歐元 (EUR),33.45,33.81,33.03,34.08,土地銀行
4,人民幣 (CNY),4.297,4.3469999999999995,4.222,4.387,土地銀行
5,英鎊 (GBP),38.92,39.32,0,0,土地銀行
6,新加坡幣 (SGD),20.79,20.95,0,0,土地銀行
7,澳幣 (AUD),21.35,21.55,21.1,21.8,土地銀行
8,泰幣 (THB),0.8592,0.9192,0,0,土地銀行
9,加拿大幣 (CAD),22.76,22.94,22.48,23.22,土地銀行
10,瑞士法郎 (CHF),30.77,30.97,0,0,土地銀行
11,紐西蘭幣 (NZD),19.79,19.99,0,0,土地銀行
12,南非幣 (ZAR),1.9880000000000002,2.088,0,0,土地銀行
13,瑞典幣 (SEK),3.32,3.38,0,0,土地銀行
0,美金 (USD),27.56,27.66,27.14,27.895,中華郵政
1,日圓 (JPY),0,0,0.2428,0.2565,中華郵政
2,港幣 (HKD),3.531,3.591,3.361,3.6069999999999998,中華郵政
3,歐元 (EUR),33.47,33.87,32.6,34.23,中華郵政
4,人民幣 (CNY),4.301,4.351,4.2276,4.3996,中華郵政
0,美金 (USD),27.535,27.685,27.21,27.88,台灣銀行
1,日圓 (JPY),0.2494,0.254,0.2424,0.2552,台灣銀行
2,港幣 (HKD),3.523,3.593,3.402,3.606,台灣銀行
3,歐元 (EUR),33.115,33.715,32.6,33.94,台灣銀行
4,人民幣 (CNY),4.286,4.346,4.219,4.381,台灣銀行
5,英鎊 (GBP),38.685,39.315,37.79,39.91,台灣銀行
6,新加坡幣 (SGD),20.71,20.93,20.24,21.15,台灣銀行
7,澳幣 (AUD),21.095,21.44,20.88,21.66,台灣銀行
8,泰幣 (THB),0.8689,0.9149,0.7595,0.9495,台灣銀行
9,加拿大幣 (CAD),22.57,22.9,22.24,23.15,台灣銀行
10,瑞士法郎 (CHF),30.53,30.92,29.92,31.12,台灣銀行
11,紐西蘭幣 (NZD),19.57,19.87,19.24,20.09,台灣銀行
12,南非幣 (ZAR),1.967,2.057,0,0,台灣銀行
13,瑞典幣 (SEK),3.26,3.38,2.93,3.45,台灣銀行
14,馬來幣 (MYR),0,0,5.602,7.227,台灣銀行
15,印尼幣 (IDR),0,0,0.00158,0.00228,台灣銀行
16,韓幣 (KRW),0,0,0.02299,0.02689,台灣銀行
17,越南幣 (VND),0,0,0.00081,0.00131,台灣銀行
18,菲律賓幣 (PHP),0,0,0.5038,0.6368,台灣銀行
0,美金 (USD),27.56,27.66,27.22,27.89,兆豐銀行
1,日圓 (JPY),0.2497,0.2538,0.2425,0.2552,兆豐銀行
2,港幣 (HKD),3.53,3.59,3.4,3.606,兆豐銀行
3,歐元 (EUR),33.23,33.63,32.61,33.95,兆豐銀行
4,人民幣 (CNY),4.29,4.34,4.22,4.382,兆豐銀行
5,英鎊 (GBP),38.78,39.18,37.75,39.89,兆豐銀行
6,新加坡幣 (SGD),20.74,20.92,20.25,21.14,兆豐銀行
7,澳幣 (AUD),21.16,21.4,20.88,21.67,兆豐銀行
8,泰幣 (THB),0.867,0.909,0.757,0.947,兆豐銀行
9,加拿大幣 (CAD),22.64,22.84,22.26,23.17,兆豐銀行
10,瑞士法郎 (CHF),30.65,30.85,29.94,31.13,兆豐銀行
11,紐西蘭幣 (NZD),19.63,19.83,19.24,20.11,兆豐銀行
12,南非幣 (ZAR),1.97,2.07,0,0,兆豐銀行
13,瑞典幣 (SEK),3.27,3.37,0,0,兆豐銀行
14,馬來幣 (MYR),0,0,5.707,7.18,兆豐銀行
15,印尼幣 (IDR),0,0,0.0016,0.0023,兆豐銀行
16,韓幣 (KRW),0,0,0.023,0.0267,兆豐銀行
17,澳門幣 (MOP),0,0,3.212,3.593,兆豐銀行
18,越南幣 (VND),0,0,0.001,0.0014,兆豐銀行
19,菲律賓幣 (PHP),0,0,0.537,0.647,兆豐銀行
0,美金 (USD),27.52,27.68,27.205,27.903,合作金庫
1,日圓 (JPY),0.2487,0.2547,0.2426,0.256,合作金庫
2,港幣 (HKD),3.5195,3.5995,3.4165,3.602,合作金庫
3,歐元 (EUR),33.11,33.71,32.68,33.945,合作金庫
4,人民幣 (CNY),4.273,4.353,4.185,4.378,合作金庫
5,英鎊 (GBP),38.68,39.28,0,0,合作金庫
6,新加坡幣 (SGD),20.66,20.96,0,0,合作金庫
7,澳幣 (AUD),21.09,21.4,0,0,合作金庫
8,泰幣 (THB),0.8582,0.9182,0,0,合作金庫
