,幣別,即期買入,即期賣出,現鈔買入,現鈔賣出,銀行
3,英鎊(GBP),39.008,39.408,0,0,日盛銀行
4,日圓(JPY),0.2505,0.2555,0.2480,0.2580,日盛銀行
5,澳幣(AUD),21.323,21.583,0,0,日盛銀行
6,加拿大幣(CAD),22.82,23.02,0,0,日盛銀行
7,新加坡幣(SGD),20.828,21.028,0,0,日盛銀行
8,瑞士法郎(CHF),30.741,30.941,0,0,日盛銀行
9,紐西蘭幣(NZD),19.77,20.21,0,0,日盛銀行
10,瑞典幣(SEK),3.293,3.413,0,0,日盛銀行
11,南非幣(ZAR),1.96,2.12,0,0,日盛銀行
12,人民幣(CNY),4.305,4.365,4.2350,4.4220,日盛銀行
